trial	start	end	x	y	mad.x	mad.y	peak.vx	peak.vy	dur	event	participant
1	136	276	889.03	356.75	7.04235	10.393025999999987	2.6199999999999477	-5.420000000000016	140	fixation	3
1	336	484	726.09	236.39	1.7346420000001077	6.716178000000001	2.830000000000041	3.2849999999999966	148	fixation	3
1	508	680	672.27	230.64	5.174274000000013	1.9273800000000167	3.6850000000000023	4.465000000000003	172	fixation	3
1	720	984	754.05	230.45999999999998	1.8754889999999798	2.6686800000000166	-3.3450000000000273	3.0400000000000063	264	fixation	3
1	992	1264	743.24	231.47	2.112705000000017	2.861417999999989	-2.715000000000032	-3.6199999999999903	272	fixation	3
1	1492	1608	724.54	260.71	4.907406000000087	1.9273799999999324	-1.8149999999999977	-3.394999999999996	116	fixation	3
1	1632	1996	814.91	273.56	7.561260000000034	14.944607999999976	-5.974999999999966	-3.8850000000000193	364	fixation	3
1	2004	2224	798.98	299.57	7.78365	8.37669000000005	-3.740000000000009	-4.125	220	fixation	3
1	2252	2532	701.3	265.45500000000004	5.507859000000131	16.227056999999988	2.7450000000000045	3.694999999999993	280	fixation	3
1	2556	2928	760.65	265.19	7.665042000000107	9.384857999999976	-3.714999999999975	2.4000000000000057	372	fixation	3
1	2960	3300	887.45	272	1.3936439999999122	8.272907999999976	2.5399999999999636	-2.769999999999982	340	fixation	3
1	3320	3576	833.685	263.11	3.7732170000000234	5.72283600000002	3.589999999999975	-1.9650000000000034	256	fixation	3
1	3588	3740	903.825	266.19	3.447044999999983	10.3782	-3.454999999999984	-3.664999999999992	152	fixation	3
1	3916	4156	895.655	249.84	13.195139999999965	10.563525	-3.7799999999999727	-3.934999999999988	240	fixation	3
1	4168	4652	916.71	275.74	35.10796799999992	10.570937999999993	-4.4599999999999795	3.8600000000000136	484	fixation	3
1	4672	5508	837.09	274.36	20.786051999999973	12.720707999999975	4.384999999999991	4.310000000000002	836	fixation	3
1	5528	5672	921.635	269.895	8.91783899999998	6.263985000000034	-4.125	2.510000000000005	144	fixation	3
1	5848	6036	750.56	301.42	4.507104000000115	9.622074000000014	3.2200000000000273	-5.175000000000011	188	fixation	3
1	6044	6232	715.11	303.76	11.28258600000002	2.8169400000000504	3.5600000000000023	1.6800000000000068	188	fixation	3
1	6264	6464	783.305	312.57500000000005	3.2839590000001313	7.138718999999912	-3.204999999999984	2.335000000000008	200	fixation	3
1	6492	6684	942.225	304.39	5.181686999999922	5.470793999999996	3.2999999999999545	2.0149999999999864	192	fixation	3
1	6708	6980	891.495	311.14	8.228430000000017	4.3884960000000115	4.194999999999993	1.6550000000000011	272	fixation	3
1	7020	7176	1126.32	299.58	11.430846000000054	10.200287999999993	-3.1900000000000546	-1.2699999999999818	156	fixation	3
1	7184	7232	1133.055	298.805	3.276546000000054	4.42556100000002	-3.9150000000000773	1.829999999999984	48	fixation	3
1	7260	7720	801.05	330.66	12.97275	3.662021999999956	4.4950000000000045	-3.734999999999985	460	fixation	3
1	7740	7948	723.935	512.275	3.23206800000001	8.32479899999997	3.4750000000000227	3.704999999999984	208	fixation	3
1	8256	8332	798.59	549.12	6.004530000000101	6.567917999999925	-3.6650000000000205	3.134999999999991	76	fixation	3
1	8344	8480	799.745	542.78	5.47820699999999	7.92449700000004	-2.2199999999999704	-3.3149999999999977	136	fixation	3
1	8500	9128	717.94	525.76	6.731004000000114	8.094996000000053	4.255000000000052	4.954999999999984	628	fixation	3
1	9160	9660	793.03	421.38	10.304069999999898	15.952775999999986	-4.044999999999959	4.780000000000001	500	fixation	3
1	9704	10088	710.69	542.1400000000001	11.327063999999979	20.28196799999984	2.5600000000000023	-7.014999999999986	384	fixation	3
1	10108	10200	752.37	535.09	4.314365999999953	6.567918000000094	-3.615000000000009	-1.599999999999966	92	fixation	3
1	10448	10592	759.5450000000001	544.325	2.0459880000000776	14.462762999999992	-3.4149999999999636	-9.050000000000011	144	fixation	3
1	10600	10976	804.2049999999999	540.25	7.63539000000005	6.419657999999976	6.285000000000025	-3.480000000000018	376	fixation	3
1	10996	11428	753.73	527.79	5.8562699999999825	5.648706000000003	3.090000000000032	3.599999999999966	432	fixation	3
1	11616	12084	936.19	536.1	8.999381999999905	6.1824420000001075	-3.1850000000000023	-4.8799999999999955	468	fixation	3
1	12112	12344	1016.8499999999999	531.875	5.878509000000047	10.526460000000034	-4.264999999999986	5.515000000000043	232	fixation	3
1	12376	12724	781.43	534.85	8.821469999999898	5.945225999999987	-3.5	-3.795000000000016	348	fixation	3
1	12748	13120	1011.96	534.74	14.677739999999966	7.78365	-4.014999999999986	-4.035000000000025	372	fixation	3
1	13144	13488	1113.48	542.735	21.275310000000033	6.3232889999999795	-4.615000000000009	4.649999999999977	344	fixation	3
1	13504	13556	1073.35	529.62	6.004530000000269	11.193629999999931	4.485000000000014	4.269999999999982	52	fixation	3
1	13564	13812	1048.2849999999999	525.77	15.893471999999871	3.6916740000000132	3.740000000000009	2.305000000000007	248	fixation	3
1	14060	14132	1100.815	527.875	0.49667100000005393	2.4981810000000033	1.0750000000000455	-3.8950000000000387	72	fixation	3
1	14164	14304	862.21	558.33	4.685016000000121	10.95641399999998	2.5049999999999955	-5.485000000000014	140	fixation	3
1	14324	15244	807.05	578.3900000000001	9.318141000000036	13.247031000000003	4.21999999999997	6.555000000000007	920	fixation	3
1	15276	15344	994.58	563.4	2.5055940000000807	9.96307200000004	2.25	-6.159999999999968	68	fixation	3
1	15356	15572	992.5250000000001	568.81	3.521175	18.96245400000003	-1.9150000000000205	-4.740000000000009	216	fixation	3
1	15604	15872	1092.06	586.22	6.434483999999879	22.35760800000006	3.3150000000000546	-4.985000000000014	268	fixation	3
1	15900	16144	751.42	625.08	5.500445999999885	6.87926399999998	1.7300000000000182	-2.830000000000041	244	fixation	3
1	16164	16428	703.01	612.4449999999999	2.913309000000047	4.544168999999912	3.944999999999993	2.7399999999999523	264	fixation	3
1	16664	16984	781.505	616.02	2.891069999999983	10.385613000000077	2.730000000000018	-3.6999999999999886	320	fixation	3
1	17004	17528	820.84	620.61	18.354587999999993	3.7509779999999595	-3.7250000000000227	-4.410000000000025	524	fixation	3
1	17800	17928	859.2950000000001	608.855	7.375934999999949	15.797102999999959	3.3349999999999795	5.779999999999973	128	fixation	3
1	17932	18148	863.1099999999999	618.5699999999999	4.077149999999831	19.57773300000006	2.240000000000009	-5.784999999999968	216	fixation	3
1	18176	18376	979.5699999999999	619.675	5.715423000000027	26.271672000000038	3.7000000000000455	-3.240000000000009	200	fixation	3
1	18416	18456	940.7049999999999	638.69	1.7791200000001517	3.3803280000000435	-1.339999999999975	4.454999999999984	40	fixation	3
1	18464	18844	951.14	614.18	10.70437200000004	19.258973999999842	2.7350000000000136	-4.675000000000011	380	fixation	3
1	18868	19064	996.25	606.32	7.294391999999939	22.090740000000135	-4.285000000000025	4.105000000000018	196	fixation	3
1	19084	19456	944.14	622	4.61088600000002	14.470175999999986	4.390000000000043	-3.8700000000000045	372	fixation	3
1	19480	19652	1008.23	622.28	2.075639999999966	4.225410000000034	-3.144999999999982	2.069999999999993	172	fixation	3
1	19904	20292	1053.1	622.09	6.286224000000013	9.340380000000101	-2.759999999999991	-5.389999999999986	388	fixation	3
1	20316	20660	1147.195	613.745	4.425560999999852	4.729493999999996	-3.4750000000000227	-4.025000000000034	344	fixation	3
1	20672	20936	1114.4	620.7850000000001	6.382593000000094	6.805134000000131	4.205000000000041	2.4700000000000273	264	fixation	3
1	20952	21256	1185.12	623.065	7.605738000000161	4.707255000000101	-4.149999999999977	1.724999999999966	304	fixation	3
1	21284	21472	950.55	598.62	4.477452000000142	8.984556000000087	3.25	2.920000000000016	188	fixation	3
1	21500	21740	817.0799999999999	624.965	7.464891000000037	9.96307200000004	4.6650000000000205	2.944999999999993	240	fixation	3
1	21748	21828	799.765	612.23	14.492414999999966	5.8340310000000875	4.319999999999993	2.295000000000016	80	fixation	3
1	21836	22176	769.55	622.98	13.550964000000148	9.384857999999891	4.949999999999989	3.569999999999993	340	fixation	3
1	22188	22460	764.905	666.3599999999999	5.86368300000006	20.800878000000125	-3.8799999999999955	3.0049999999999955	272	fixation	3
1	22492	22676	905.015	651.865	1.6530990000000134	12.357470999999968	3.180000000000007	1.9850000000000136	184	fixation	3
1	22696	22824	866.09	665.9649999999999	6.086073000000111	1.9051409999999527	3.4850000000000136	3.224999999999966	128	fixation	3
1	23080	23172	799.15	655.57	0.5485620000000068	10.837805999999919	-2.855000000000018	-4.835000000000036	92	fixation	3
1	23200	23496	870.54	691.7049999999999	1.5419040000000304	6.4567229999999425	-3.7800000000000296	3.230000000000018	296	fixation	3
1	23524	23932	984.775	683.155	13.795592999999926	6.308462999999993	-3.444999999999993	-1.2300000000000182	408	fixation	3
1	23948	24148	1024.7649999999999	692.61	8.243255999999834	16.04173199999999	-3.329999999999984	4.84499999999997	200	fixation	3
1	24172	24376	1105.87	686.84	8.480471999999702	3.86958600000002	-2.6499999999999773	-1.8199999999999932	204	fixation	3
1	24404	24684	1180.815	698.605	12.542795999999885	7.116479999999932	-3.900000000000091	3.8700000000000045	280	fixation	3
